,sample,piece,field,analysis,Host,Length,Width,Phases,VL (%),VV (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Hmg Mode,salinity(NaCleq wt%),salChen(NaCleq wt%),salBod(NaCleq%)
36,BU18FA20,C,FF1,3,bertossaite,15.0,7.5,L - L - V,77.0,23.0,-58.49417320911979,-74.36100673129467,-26.161757729971022,-11.891586700593633,-1.812654714809601,27.526018590343913,CO2 = cri,17.520665992193592,17.57588297811676,15.853353781411348
37,BU18FA20,C,FF1,4,bertossaite,13.9,10.5,L - L - V,74.0,26.0,-58.49417320911979,-73.96184110809529,-25.064052266172762,-13.089083570191736,-2.2118203380089687,27.625809996143758,CO2 = cri,17.914645952152622,17.978351443845785,16.975102046159968
38,BU18FA20,B,FF2,1,bertossaite,17.7,13.5,L - V,79.0,21.0,,-69.6708106587021,-19.475733541381615,-10.69408983099553,3.9752468215812287,,,10.564835809753404,10.487969490632175,14.661829550422736
39,BU18FA20,B,FF2,2,bertossaite,12.2,10.1,L - V,78.0,22.0,,-69.6708106587021,-22.868641338576243,-10.494507019395845,3.675872604181703,,,10.991163913084781,10.918810353768722,14.456055440329713
40,BU18FA20,B,FF2,3,bertossaite,71.6,46.6,L - V,80.0,20.0,,-64.68124036871,-19.276150729781932,-10.09534139619648,4.973160879579647,,,9.082683424891364,8.995082684857405,14.038108037420924
41,BU18FA20,B,FF2,4,bertossaite,33.3,34.4,V - L,40.0,60.0,-57.49625915112137,-69.6708106587021,,-2.610985961208336,7.966903053574904,20.44082877855514,CO2 = L,4.022231642314027,3.9566761799410224,4.356147117141838
42,BU18FA22,C,FF1,1,bertossaite,20.6,7.0,L - V,79.0,21.0,,-71.66663877469892,-27.15967178796944,-22.669058526976556,-0.21599222201213086,,,15.847244751907681,15.863934939653255,24.12582288383217
43,BU18FA22,C,FF1,2,bertossaite,9.3,6.0,L - V,75.0,25.0,,-64.68124036871,-26.06196632417118,-22.569267121176715,-0.11620081621228895,,,15.737127632293035,15.751267157244257,24.06241589166713
44,BU18FA22,C,FF1,3,bertossaite,10.2,5.9,L - V,70.0,30.0,,-64.68124036871,,-23.46738977337529,,,,,,24.628826357713557
45,BU18FA22,C,FF1,4,bertossaite,21.9,4.8,L - V,75.0,25.0,,-67.67498254270525,-25.064052266172762,-21.870727280577825,0.48254761858676243,,,15.061823699477687,15.060577705499172,23.614763519543793
46,BU18FA20,E,FF1,1,trolleite,24.6,25.3,V - L,45.0,55.0,-58.66780405094279,-74.01778800878162,-25.475955622628966,-15.109732690062483,5.224012293048692,23.763603307061825,CO2 = L,8.694855209511907,8.605735503115998,18.725720715837326
47,BU18FA20,E,FF1,2,trolleite,16.1,10.6,V - L,43.0,57.0,-58.568128830437345,,-25.27660518161807,-14.611356587535248,5.8220636160813735,22.966201543018247,CO2 = L,7.744601189238222,7.654036374382813,18.309387765408932
48,BU18FA20,E,FF1,3,trolleite,12.4,5.1,L - V - S,77.0,20.0,-58.468453609931906,-73.91811278827618,-21.887647684432874,-14.412006146524355,-3.3480566704197448,19.078867943305816,CO2 = V (c) ,18.988110791605617,19.071932507017486,18.140125895193734
49,BU18FA20,E,FF1,4,trolleite,19.5,9.2,L - V,79.0,21.0,,-73.51941190625439,-21.68829724342198,-14.312330926018907,2.233755677885284,,,12.93313854060685,12.888938034933568,18.054897002618024
50,BU18FA20,A,FF2,1,trolleite,43.9,22.9,L - V,65.0,35.0,,-71.40041138992078,-26.021529381282384,-17.87914792677834,1.0866430221274177,,,14.35419230400871,14.337549041572045,20.87917009461269
51,BU18FA20,A,FF2,2,trolleite,25.8,11.2,L - V,69.0,31.0,,-72.69127674246411,-24.134880019872913,-12.020605172927874,4.065563066458165,,,10.434591077819363,10.356471435899167,15.977463091780724
52,BU18FA20,A,FF2,3,trolleite,14.5,10.9,L - V,69.0,31.0,,,-22.54612266289651,-14.403741208392471,4.3634550708912405,,,9.999572753374881,9.917696905180875,18.133074071794393
53,BU18FA20,F,FF1,1,bertossaite,23.0,20.5,L - V,84.0,16.0,,-75.03502442367402,-24.733461397541475,-10.788473627920578,4.750227029657,,,9.422127024431528,9.336296990845208,14.758409071533261
54,BU18FA20,F,FF1,2,bertossaite,28.9,20.4,L - V,86.0,14.0,,-72.14641981425254,-24.03621200906043,-8.59711840698015,5.646690529132629,,,8.027046932935425,7.936574035257166,12.38995628310039
55,BU18FA20,F,FF1,3,bertossaite,22.0,15.1,L - V,80.0,20.0,,,-23.637783787071264,-10.390045405931408,4.451405863165124,,,9.86952716859363,9.786657707779062,14.347508120610616
56,BU18FA20,F,FF2,1,trolleite,19.9,6.5,L - V,67.0,33.0,,-71.64838453676607,-21.844856788120005,-9.692796017450364,0.5667306987707291,,,14.964825792438985,14.96141811875165,13.607800948373427
57,BU18FA32,A,FF1,1,brazilianite,115.5,41.5,L - V - S,82.0,17.0,,-72.8205974756268,-26.94729936080337,-11.489992387330256,4.76511107509631,,,9.399615997916051,9.313655808935383,15.461823480952386
58,BU18FA32,A,FF1,2,brazilianite,117.8,33.8,L - L - V,43.0,57.0,-63.04759048594703,-70.82610625324317,-22.260244988201844,-12.985860804117976,5.164009319573036,25.408095226766854,CO2 = L,8.788193556873681,8.699390223690374,16.881012605354016
59,BU18FA32,A,FF1,3,brazilianite,105.5,49.7,L - L - V,73.0,27.0,-62.548967680351126,-71.82335186443498,-24.15501164946629,-10.791920459495987,-1.6172608365312986,29.49680223265329,CO2 = L,17.3244159332787,17.37526506760297,14.761927246868057
60,BU18FA32,A,FF1,4,brazilianite,29.2,14.3,L - L - V,72.0,28.0,-62.44924311923194,-74.81508869801043,-25.152257260658104,-10.991369581734348,-3.512027497795745,29.49680223265329,CO2 = L,19.137511863137277,19.22363973575615,14.964450157845574
61,BU18FA32,A,FF1,5,brazilianite,20.7,18.5,L - V,76.0,24.0,,-73.81784308681861,-25.950053749611556,-12.387513437402887,3.8675900250236768,,,10.719097048098291,10.64379130441202,16.326046885656787
62,BU18FA32,A,FF1,6,brazilianite,29.9,19.9,L - V,77.0,23.0,,-70.82610625324317,-26.94729936080337,-12.387513437402887,3.8675900250236768,,,10.719097048098291,10.64379130441202,16.326046885656787
63,BU18FA32,A,FF1,7,brazilianite,17.5,16.2,L - V,77.0,23.0,,-64.8426325860923,-26.2492274329691,-11.888890631806982,4.067039147262039,,,10.432456105247793,10.35431641081686,15.850751683655126
64,BU18FA32,A,FF1,8,brazilianite,8.7,7.9,L - V,77.0,23.0,,-72.8205974756268,-26.14950287184992,-11.489992387330256,,,,,,15.461823480952386
65,BU18FA32,A,FF1,9,brazilianite,25.3,11.8,L - V,76.0,24.0,,-71.82335186443498,-24.05528708834711,-11.589716948449437,3.9673145861428583,,,10.576238572749801,10.499484787479854,15.559793126228492
66,BU18FA32,A,FF1,10,brazilianite,22.5,14.4,L - V,73.0,27.0,,-70.82610625324317,-25.152257260658104,-11.888890631806982,4.366212830619585,,,9.995506290949303,9.913598468540835,15.850751683655126
67,BU18FA32,C,FF1,1,brazilianite,44.5,24.3,L - V,78.0,22.0,,-70.82610625324317,-24.15501164946629,-12.58696255964125,4.665386513977128,,,9.55003009533239,9.464973834639943,16.51286979940397
68,BU18FA32,C,FF1,2,brazilianite,25.9,25.9,L - V,77.0,23.0,,-73.81784308681861,-24.15501164946629,-11.489992387330256,3.7678654639044953,,,10.861037377180383,10.787240127003555,15.461823480952386
69,BU18FA32,C,FF1,3,brazilianite,18.5,11.9,L - L - V,64.0,36.0,-61.35227294692094,-69.82886064205137,-29.041515144306178,-14.382004659786515,1.0753023136865987,27.003688204673757,CO2 = L,14.367727845275153,14.351370212027899,18.11451484677686
70,BU18FA32,C,FF1,4,brazilianite,21.4,15.2,L - L - V,66.0,34.0,-61.45199750804013,-71.82335186443498,-28.44316777759109,-14.880627465382423,0.8758531914482358,27.003688204673757,CO2 = L,14.604190557331718,14.592882372957797,18.53552516314262
71,BU18FA32,C,FF1,5,brazilianite,22.0,9.3,L - L - V,67.0,33.0,-62.05034487475522,-69.82886064205137,-28.44316777759109,-12.387513437402887,1.3744759970441427,27.103412765792935,CO2 = L,14.007360701771951,13.983533581545922,16.326046885656787
72,BU18FA32,C,FF1,6,brazilianite,13.5,9.5,L - V,78.0,22.0,,-71.82335186443498,-26.747850238565007,-11.689441509568617,3.7678654639044953,,,10.861037377180383,10.787240127003555,15.657268832130653
73,BU18FA32,C,FF1,7,brazilianite,22.1,9.8,L - V,78.0,22.0,,-69.82886064205137,-25.55115550513483,-12.387513437402887,4.067039147262039,,,10.432456105247793,10.35431641081686,16.326046885656787
