,Date,sample,piece,field,Host,analysis,Length,Width,Phases,VL (%),VV (%),VS (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Tm Xts,Th total,Hmg Mode,Type
84,18/07/2019,BU18FA20,H,FF1,trolleite,1,46.9,26,L - V,76,24,,,-73,-24.8,-14.9,1.8,,,,,
85,18/07/2019,BU18FA20,H,FF1,trolleite,2,36.2,25.3,L - V,75,25,,,-72,-24.1,-15.1,2.2,,,,,
86,18/07/2019,BU18FA20,H,FF1,trolleite,3,21.6,11.2,L - V,75,25,,,-73,-23.8,-14,2.4,,,,,
87,18/07/2019,BU18FA20,H,FF1,trolleite,4,14.4,10.1,L - V,77,23,,,-72,-24,-13.4,2.9,,,,,
88,18/07/2019,BU18FA20,H,FF1,trolleite,5,17.4,8.8,L - V,77,23,,,-73,-23.9,-13.3,2.3,,,,,
90,18/07/2019,BU18FA20,H,FF1,trolleite,7,23.3,10.2,L - V - S,72,25,3,,-74,-23,-13.8,1.6,,,,,
91,18/07/2019,BU18FA20,A,FF1,scorzalite,1,19.8,10.1,L - V,60,40,,-57.2,-73,-22,-14,-3.9,,,,,
92,18/07/2019,BU18FA20,A,FF4,scorzalite,1,20.8,6.3,L - V,65,35,,-57.3,,,,,,,,,
93,18/07/2019,BU18FA20,I,FF1,scorzalite,1,17.6,10,L - V,72,28,,,-71,-25.2,-16,-5.5,,,,,
94,18/07/2019,BU18FA22,D,FF1,scorzalite,1,13.9,12.4,L - V,70,30,,,-72,-23.6,-13.5,2.2,,,,,
95,18/07/2019,BU18FA22,D,FF1,scorzalite,2,14.4,7.6,L - V,74,26,,,-71,-22.8,-11,2.8,,,,,
96,18/07/2019,BU18FA22,D,FF1,scorzalite,3,15.7,7.2,L - V,65,35,,,-72,-23.2,-11.6,1,,,,,
97,18/07/2019,BU18FA20,C,FF1,bertossaite,5,28.2,18,L - V,80,20,,-56.7,-74,-24,-12.1,-1.5,27.2,,,,
98,18/07/2019,BU18FA20,C,FF1,bertossaite,6,20.8,14.3,L - L - V,78,22,,-57.1,-72,-23.5,-15.4,-1.6,27.1,,,,
99,18/07/2019,BU18FA20,C,FF1,bertossaite,7,15.6,9.3,L - L - V,74,26,,-56.7,-73,-22.9,-11.9,-2.6,26.7,,,,
100,18/07/2019,BU18FA20,C,FF1,bertossaite,8,26,17.3,L - L - V,76,24,,-56.9,-75,-23.4,-11.4,-1.4,26.8,,,,
101,18/07/2019,BU18FA20,C,FF1,bertossaite,9,37.8,25.6,L - L - V,76,24,,-56.9,-73,-23.2,-12,-1.5,27.4,,,,
102,18/07/2019,BU18FA20,C,FF1,bertossaite,10,11.6,10,L - L - V,71,29,,,-72,-25.3,-11.7,-1.5,26.9,,,,
103,18/07/2019,BU18FA20,B,FF2,bertossaite,5,14.1,10,L - V,78,22,,,,-21,-9.8,3.4,,,,,
104,18/07/2019,BU18FA20,F,FF1,bertossaite,4,34.1,15.6,L - V,78,22,,,-72,-21.5,-6.7,4.1,,,,,
105,18/07/2019,BU18FA20,F,FF1,bertossaite,5,8.9,5.3,L - V - S,66,30,4,,-73,-22.6,-12.2,3.8,,,,,
110,27/07/2021,BU18FA32,B,FF2,brazilianite,1,26.2,20.7,L - V - S,77.5,22,0.5,,-73,-24.6,-10.3,4.9,,,,,
