sample,piece,field,analysis,Host,Li,B,Na,Mg,Al,Si,P,K,Ti,Mn,Rb,Sr,Nb,Sn,Cs,Ba,Ta,W,Ca,Fe,NbTa,Nb/Ta,Li/Na,K/Na,K/Cs,K/Rb,Cs/Na,Rb/Na,Rb/Cs,Ta#,Mn#,Na%,Li%,K%,Rb%,Cs%,B%,P%,diva,diva%,Alkalis,Alkalis%,Info
BU18FA19,A,ff7b,fi09,trolleite,1130.086569860423,3316.864251468885,35670.35744269739,,,,61400.14460806224,22158.076330513442,,642.9913361283033,910.8793551594745,,22.747639349843016,,158.63432366396734,,,,,2444.7055357703016,22.747639349843016,,0.03168139180202636,0.6211901959802131,139.68021433653007,24.32602759630452,0.004447231119531261,0.025536031048266218,5.742006736757527,,20.824302475421817,3.5670357442697385,0.1130086569860423,2.215807633051344,0.09108793551594745,0.015863432366396733,0.3316864251468885,6.140014460806224,3087.696871898605,0.3087696871898605,60028.034021894695,6.0028034021894685,
BU18FA19,A,ff7b,fi01,trolleite,168.0624282691266,1148.5275658111552,17671.80283897026,22.84036705212099,,,,12801.938611511281,,178.25850082136648,702.7445155692598,,,,111.11409330722637,,,,,,,,0.009510202767683188,0.72442742419467,115.21435517737964,18.217059440358696,0.006287648991997299,0.03976643028291101,6.324530891200247,,100.0,1.7671802838970259,0.01680624282691266,1.280193861151128,0.07027445155692598,0.011111409330722638,0.11485275658111552,,201.09886787348748,0.02010988678734875,31455.662487627153,3.1455662487627154,
BU18FA19,A,ff7b,fi011,trolleite,5962.225742699109,1220.170070936436,19547.675849617193,,,,,19683.5641050631,298.5345860342555,70.70004744928418,888.0681181072998,,13.576826697366856,123.74988282880739,175.21879470330146,,40.56294973143013,,,,54.139776428796985,0.33471004419697997,0.3050094440161217,1.0069516323317058,112.33705915163576,22.164475566371873,0.00896366381616323,0.04543088011788834,5.068338243115234,74.92263989079694,100.0,1.9547675849617194,0.5962225742699109,1.9683564105063098,0.08880681181072998,0.017521879470330147,0.1220170070936436,,70.70004744928418,0.007070004744928419,46256.75261019001,4.6256752610189995,
BU18FA19,A,ff7b,fi02,trolleite,,,38627.64892368645,,,,299557.6634560759,27464.530572061565,,,794.0823608437514,,,,334.189984248881,,,,,,,,,0.7110070464376705,82.18238686533445,34.58650125772742,0.0086515745472657,0.020557356788981806,2.376140513691683,,,3.862764892368645,,2.7464530572061565,0.07940823608437514,0.0334189984248881,,29.95576634560759,,,67220.45184084064,6.722045184084065,
BU18FA19,B,ff1,fi02,trolleite,1022.9446572059525,1210.5550631942672,34429.195666228385,,,,73357.12224885913,28764.755372113374,89.48285271976648,1255.8296970673564,994.6937811389611,,,,443.75072392599105,98.14257303744407,,,,2214.7105475571943,,,0.029711546767540647,0.8354756716064888,64.82187818787823,28.918201679291357,0.01288879148464297,0.0288909967802314,2.241559793612543,,36.18542384035124,3.4429195666228383,0.10229446572059525,2.8764755372113373,0.09946937811389611,0.04437507239259911,0.12105550631942671,7.3357122248859135,3568.6828176619947,0.35686828176619945,65655.34020061266,6.565534020061265,
BU18FA19,B,ff1,fi03,trolleite,514.0989236793511,,36467.32565260112,,,,27450.26480502395,31013.225899740413,1255.3747546968168,279.6853581421077,722.3178194649117,,,,283.6395070681019,,17.149885226774032,,,,17.149885226774032,,0.01409752194544822,0.8504387241110543,109.34028979360103,42.93570650481087,0.007777908085998367,0.019807260514410403,2.546605114820916,100.0,100.0,3.6467325652601117,0.051409892367935105,3.1013225899740413,0.07223178194649117,0.028363950706810193,,2.745026480502395,279.6853581421077,0.02796853581421077,69000.60780255389,6.900060780255389,
BU18FA19,B,ff1,fi04,trolleite,1538.2012412478728,1018.548903463998,29473.27820362729,40.287950356141835,,,47622.50132364696,27624.940077078823,1298.7236602847827,214.49999393217342,1062.350179006046,,6.978211759274261,366.307781352544,253.43321841303387,18.952174756017794,157.01402997664093,,,336.93997044957564,163.9922417359152,0.04444323708086732,0.052189689610386315,0.9372876639721403,109.00283810489657,26.00361031889242,0.008598745503031411,0.03604452045226859,4.191834778638514,95.74479153074105,38.898158963262965,2.947327820362729,0.15382012412478727,2.7624940077078826,0.10623501790060459,0.025343321841303387,0.1018548903463998,4.762250132364696,610.6800894939087,0.061068008949390865,59952.20291937306,5.995220291937307,
BU18FA04,A,ff3,fi01,bertossaite,7161.568192823691,,13875.652736496328,125.29969336043507,,,,8702.949115995707,,,514.7252668688851,2016.2474990804014,,,143.37551263265283,,,,,,,,0.5161247783311146,0.6272100694120748,60.700387089766316,16.907950077788957,0.010332884178885546,0.03709557140436594,3.5900500539982714,,,1.3875652736496327,0.7161568192823691,0.8702949115995707,0.05147252668688851,0.014337551263265283,,,2141.5471924408366,0.21415471924408366,30398.270824817264,3.0398270824817266,bts
BU18FA04,A,ff3,fi02,bertossaite,3586.10299704713,863.1455324814616,26357.155421299056,97.99423682284649,,,23422.640809261095,8391.543983033622,,546.3146928374766,339.7272838166809,,,,64.965572501924,39.92696720667665,,,,450.4959017155265,,,0.13605804343169833,0.3183782107325765,129.1690915643836,24.70082440467677,0.0024648172939567567,0.012889375897603477,5.229343338837191,,54.806268695655156,2.6357155421299057,0.358610299704713,0.8391543983033621,0.03397272838166809,0.0064965572501924,0.08631455324814616,2.3422640809261095,1134.7317985825262,0.11347317985825262,38739.49525769842,3.8739495257698415,bts
BU18FA04,A,ff3,fi03,bertossaite,1689.021158259264,1278.7454373011165,29488.28947566378,11.970556598920703,,,,11694.924475300835,,211.50901020691293,468.30339197861247,,,,43.00708250830824,,,3.428016392052477,,,,,0.05727769186656915,0.39659555312465555,271.9301983119077,24.97296555100533,0.0014584461585607162,0.01588099548348153,10.888983038738893,,100.0,2.948828947566378,0.1689021158259264,1.1694924475300834,0.04683033919786125,0.0043007082508308234,0.12787454373011164,,223.47956680583363,0.022347956680583363,43383.5455837108,4.33835455837108,bts-2shots
BU18FA04,A,ff3,fi04,bertossaite,9409.884022848868,379.06460261886406,47791.674622075814,90.36097988336141,,,36823.63412318926,11288.571676952608,,1251.4261460467953,413.864247688638,,,,275.822573954349,35.067843889440745,,,11496.849917703414,1701.3356420547425,,,0.19689379159152287,0.2362037272437032,40.92693181385858,27.276025266732695,0.0057713519380829924,0.00865975613872854,1.5004727196735392,,42.38154771202837,4.779167462207582,0.9409884022848868,1.1288571676952608,0.0413864247688638,0.027582257395434902,0.037906460261886404,3.6823634123189257,14575.040529577755,1.4575040529577754,69179.81714352028,6.9179817143520275,bts
