#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 20 points
#Y (µm)=	6.77912 ... 10.5653
#X (µm)=	3.39296 ... 7.39296
#Generated=	29.03.2022 09:38:49
2514.23	5.20147
2517.73	5.15059
2521.23	4.90897
2524.73	4.34676
2528.23	3.39126
2531.72	2.42171
2535.21	1.76467
2538.71	1.91132
2542.2	2.24142
2545.69	2.79329
2549.18	3.43832
2552.66	3.96891
2556.15	4.13683
2559.63	4.07047
2563.12	3.60442
2566.6	2.99812
2570.08	2.71158
2573.55	2.44087
2577.03	2.58392
2580.5	2.97606
2583.98	3.2857
2587.45	3.88554
2590.92	4.73871
2594.39	5.07678
2597.86	5.15737
2601.32	4.74812
2604.79	3.87412
2608.25	3.95088
2611.71	3.34117
2615.17	3.12488
2618.63	2.83885
2622.08	3.04344
2625.54	2.8975
2628.99	2.44903
2632.45	2.02923
2635.9	1.38811
2639.35	1.32899
2642.79	1.8929
2646.24	2.93117
2649.69	4.06807
2653.13	4.94954
2656.57	5.68881
2660.01	5.83012
2663.45	5.84369
2666.89	5.43603
2670.32	4.56592
2673.76	3.8811
2677.19	3.42299
2680.62	3.70199
2684.05	4.42253
2687.48	5.31383
2690.91	6.06058
2694.33	6.44651
2697.76	6.65314
2701.18	6.95712
2704.6	7.18997
2708.02	7.22047
2711.44	6.72349
2714.86	6.07127
2718.27	5.46005
2721.69	4.86069
2725.1	4.64804
2728.51	5.27096
2731.92	5.82426
2735.33	6.83907
2738.74	7.85745
2742.14	9.0158
2745.55	10.9204
2748.95	12.2631
2752.35	13.1583
2755.75	13.8063
2759.15	14.0813
2762.54	14.7312
2765.94	15.2987
2769.33	15.6096
2772.72	16.6966
2776.12	18.0976
2779.51	19.1036
2782.89	19.8846
2786.28	20.7773
2789.67	21.6441
2793.05	23.1038
2796.43	24.365
2799.81	25.9804
2803.19	27.4888
2806.57	29.5281
2809.95	31.5601
2813.32	33.5696
2816.69	35.9368
2820.06	38.1343
2823.44	40.4549
2826.81	42.7479
2830.17	45.0057
2833.54	47.8271
2836.9	51.2725
2840.27	54.2375
2843.63	57.6183
2846.99	60.9731
2850.35	63.7244
2853.71	66.2298
2857.06	68.7571
2860.42	71.326
2863.77	74.1801
2867.12	76.958
2870.48	78.9945
2873.83	80.4553
2877.17	81.0789
2880.52	81.7231
2883.86	81.3109
2887.21	79.1746
2890.55	77.6745
2893.89	76.5142
2897.23	76.5918
2900.57	77.0283
2903.91	77.2282
2907.24	76.7908
2910.57	75.4579
2913.91	73.8895
2917.24	72.3701
2920.57	70.6459
2923.9	69.661
2927.22	68.7995
2930.55	67.8472
2933.87	66.7974
2937.19	65.4322
2940.51	63.8829
2943.83	62.117
2947.15	59.9456
2950.47	57.7284
2953.79	55.849
2957.1	54.5927
2960.41	53.5001
2963.72	52.4874
2967.03	51.3823
2970.34	50.4154
2973.65	49.3855
2976.95	48.1673
2980.26	46.7407
2983.56	45.3085
2986.86	45.4369
2990.16	44.6807
2993.46	42.5005
2996.76	41.3721
3000.06	39.9241
3003.35	39.3204
3006.64	39.0966
3009.94	33.0507
3013.23	32.6865
3016.51	33.751
3019.8	34.1829
3023.09	33.0531
3026.38	33.2019
3029.66	31.0031
3032.94	30.5395
3036.22	30.3549
3039.5	30.2886
3042.78	29.9606
3046.05	29.8508
3049.33	26.6185
3052.6	25.0471
3055.88	24.8319
3059.15	23.3328
3062.42	22.9838
3065.69	23.0629
3068.95	22.5872
3072.22	21.6501
3075.48	20.439
3078.75	19.3036
3082.01	18.748
3085.27	18.1028
3088.53	17.8569
3091.79	17.7149
3095.04	17.438
3098.3	17.0101
3101.55	16.7507
3104.8	16.3093
3108.05	15.9254
3111.3	14.5816
3114.55	13.2232
3117.8	11.9862
3121.04	10.2022
3124.29	10.13
3127.53	9.79679
3130.77	9.25023
3134.01	9.59995
3137.25	9.12747
3140.49	9.22146
3143.72	9.17976
3146.96	9.21971
3150.19	8.65822
3153.42	8.78157
3156.65	7.75023
3159.88	7.30771
3163.11	7.37706
3166.34	7.19954
3169.56	6.71546
3172.79	5.94586
3176.01	5.36826
3179.23	4.88479
3182.45	3.98603
3185.67	3.14793
3188.88	3.24206
3192.1	4.09221
3195.31	5.04387
3198.53	5.8123
3201.74	6.1549
3204.95	6.50988
3208.16	6.89657
3211.37	7.61378
3214.57	8.90888
3217.78	10.5384
3220.98	13.1078
3224.18	17.4907
3227.39	22.8528
3230.59	28.6379
3233.78	35.0923
3236.98	42.0799
3240.18	49.8218
3243.37	58.4339
3246.56	67.3128
3249.76	77.2415
3252.95	88.2129
3256.14	99.6027
3259.32	110.298
3262.51	119.467
3265.7	126.15
3268.88	129.298
3272.06	128.035
3275.24	122.731
3278.42	114.237
3281.6	104.259
3284.78	94.107
3287.96	83.9627
3291.13	74.3327
3294.31	65.2105
3297.48	57.0937
3300.65	50.5084
3303.82	44.9606
3306.99	40.8417
3310.15	37.4329
3313.32	34.8426
3316.48	32.3007
3319.65	29.8502
3322.81	27.9936
3325.97	26.6423
3329.13	25.5296
3332.28	24.6099
3335.44	23.3726
3338.6	21.6983
3341.75	20.2892
3344.9	18.9824
3348.05	18.1112
3351.2	17.5415
3354.35	17.2623
3357.5	17.6174
3360.65	17.0627
3363.79	16.8147
3366.94	16.2589
3370.08	15.6033
3373.22	15.1076
3376.36	14.8905
3379.5	15.343
3382.63	16.2416
3385.77	17.6404
3388.9	19.4819
3392.04	21.6069
3395.17	24.659
3398.3	29.0654
3401.43	36.1106
3404.56	44.3484
3407.69	52.1805
3410.81	71.8967
3413.94	100.329
3417.06	150.625
3420.18	298.044
3423.3	697.673
3426.42	1408.41
3429.54	1692.94
3432.65	1238.4
3435.77	587.465
3438.88	259.976
3442	140.01
3445.11	93.8775
3448.22	67.9699
3451.33	52.1867
3454.43	42.9245
3457.54	37.7661
3460.65	35.4183
3463.75	36.1827
3466.85	39.8612
3469.95	46.2865
3473.05	54.1947
3476.15	65.597
3479.25	78.8795
3482.35	94.8048
3485.44	118.534
3488.54	154.529
3491.63	206.641
3494.72	283.863
3497.81	391.677
3500.9	548.56
3503.99	766.709
3507.07	1007.15
3510.16	1172.73
3513.24	1158.95
3516.32	981.125
3519.41	736.794
3522.49	526.558
3525.56	373.246
3528.64	268.052
3531.72	226.294
3534.79	193.052
3537.87	245.731
3540.94	643.262
3544.01	1990.21
3547.08	2571.01
3550.15	1357.66
3553.22	405.728
3556.28	139.005
3559.35	83.6939
3562.41	58.4244
3565.47	42.738
3568.54	32.8704
3571.6	26.6299
3574.65	22.0991
3577.71	19.7966
3580.77	19.8814
3583.82	22.8395
3586.88	29.0079
3589.93	37.1489
3592.98	45.7119
3596.03	56.5687
3599.08	84.7307
3602.13	156.611
3605.18	461.295
3608.22	1325.15
3611.27	1825.16
3614.31	1173.17
3617.35	524.232
3620.39	216.435
3623.43	96.5084
3626.47	54.3664
3629.5	33.1438
3632.54	19.8124
3635.57	11.654
3638.61	7.62095
3641.64	5.79115
3644.67	4.75208
3647.7	4.31396
3650.73	3.99997
3653.75	3.06822
3656.78	2.49383
3659.8	2.43927
3662.83	2.58417
3665.85	3.28501
3668.87	3.76961
3671.89	4.3984
3674.91	4.82064
3677.92	5.0064
3680.94	4.95425
3683.96	5.01616
3686.97	5.18358
3689.98	5.79558
3692.99	5.73452
3696	5.56998
