#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-10.8896 ... -8.3655
#X (µm)=	-8.60704 ... -6.60704
#Generated=	29.03.2022 09:29:50
1997.35	6.14031
2001.08	5.79695
2004.8	5.39535
2008.53	5.27993
2012.25	5.03977
2015.98	5.46449
2019.7	5.96362
2023.42	6.3744
2027.13	6.32885
2030.85	6.30071
2034.56	6.3057
2038.28	6.20068
2041.99	6.34434
2045.7	6.1483
2049.41	5.98769
2053.11	5.68061
2056.82	5.4748
2060.52	4.67777
2064.22	4.22452
2067.92	4.55494
2071.62	4.39905
2075.31	5.26222
2079.01	6.24879
2082.7	7.06744
2086.39	7.4469
2090.08	7.99305
2093.77	7.23266
2097.45	6.18464
2101.14	5.48004
2104.82	4.46012
2108.5	4.57333
2112.18	4.79721
2115.86	4.63367
2119.54	4.27674
2123.21	3.67314
2126.88	3.67772
2130.56	4.28414
2134.23	5.06067
2137.89	6.28874
2141.56	6.67656
2145.23	6.66334
2148.89	5.98561
2152.55	5.28217
2156.21	4.5392
2159.87	3.7454
2163.53	3.48662
2167.18	3.21647
2170.84	2.86674
2174.49	3.66246
2178.14	3.8184
2181.79	3.7263
2185.44	3.97251
2189.08	4.62468
2192.73	5.53049
2196.37	6.88244
2200.01	7.92372
2203.65	8.17436
2207.29	8.35699
2210.92	6.77049
2214.56	5.07348
2218.19	6.94815
2221.82	7.8409
2225.45	8.69083
2229.08	9.71207
2232.7	10.2302
2236.33	10.0421
2239.95	9.4795
2243.57	8.30849
2247.19	6.69804
2250.81	5.58264
2254.43	4.29979
2258.04	3.67642
2261.66	3.79971
2265.27	4.33852
2268.88	5.48933
2272.49	7.91822
2276.1	9.79968
2279.7	11.2137
2283.31	12.1995
2286.91	11.4865
2290.51	10.0974
2294.11	8.4509
2297.71	6.85462
2301.3	5.47122
2304.9	4.73342
2308.49	5.05961
2312.08	6.82105
2315.67	9.89115
2319.26	12.994
2322.85	16.3339
2326.43	18.0467
2330.02	17.7895
2333.6	15.7068
2337.18	13.4268
2340.76	11.1489
2344.34	9.21367
2347.91	8.99581
2351.49	8.18386
2355.06	7.09767
2358.63	7.50301
2362.2	8.20653
2365.77	8.60221
2369.33	9.21783
2372.9	10.028
2376.46	11.2358
2380.02	12.3998
2383.58	13.1394
2387.14	13.2633
2390.7	13.1041
2394.25	12.6676
2397.81	11.5474
2401.36	10.5091
2404.91	9.1711
2408.46	8.23346
2412.01	7.24058
2415.56	6.59098
2419.1	6.5577
2422.64	6.30175
2426.18	6.72013
2429.72	6.67385
2433.26	6.68135
2436.8	6.54441
2440.34	6.19737
2443.87	6.15672
2447.4	6.1365
2450.93	5.70588
2454.46	5.28156
2457.99	4.61117
2461.52	4.25767
2465.04	4.27847
2468.56	4.40278
2472.09	4.46848
2475.61	4.87236
2479.13	4.39673
2482.64	4.08049
2486.16	4.50771
2489.67	4.93436
2493.18	6.10245
2496.69	7.22999
2500.2	7.93056
2503.71	8.25131
2507.22	8.01474
2510.72	5.37967
2514.23	3.99727
2517.73	2.95819
2521.23	3.0024
2524.73	3.08939
2528.23	3.12591
2531.72	2.92109
2535.21	3.05271
2538.71	3.3847
2542.2	4.13363
2545.69	4.56894
2549.18	4.73278
2552.66	4.41669
2556.15	3.98475
2559.63	3.69895
2563.12	3.67414
2566.6	3.46259
2570.08	3.21636
2573.55	3.39596
2577.03	3.53597
2580.5	3.66431
2583.98	3.30602
2587.45	2.75555
2590.92	3.15898
2594.39	3.69143
2597.86	4.46826
2601.32	5.23191
2604.79	5.90112
2608.25	6.59188
2611.71	6.83518
2615.17	6.81496
2618.63	6.22519
2622.08	6.25883
2625.54	6.94046
2628.99	7.41042
2632.45	8.30398
2635.9	9.02581
2639.35	8.82327
2642.79	8.49708
2646.24	7.56385
2649.69	5.6601
2653.13	4.49477
2656.57	3.95466
2660.01	3.83113
2663.45	4.66195
2666.89	5.39097
2670.32	5.90617
2673.76	6.43553
2677.19	7.34063
2680.62	8.583
2684.05	9.20139
2687.48	9.70841
2690.91	10.5542
2694.33	11.4965
2697.76	11.523
2701.18	11.9741
2704.6	12.2382
2708.02	12.4249
2711.44	12.2689
2714.86	12.1616
2718.27	11.6098
2721.69	10.3631
2725.1	9.5494
2728.51	8.87462
2731.92	8.60993
2735.33	8.85702
2738.74	8.46604
2742.14	7.81174
2745.55	6.8807
2748.95	5.61927
2752.35	5.18788
2755.75	6.44203
2759.15	7.61469
2762.54	7.89322
2765.94	7.74383
2769.33	7.6922
2772.72	7.8832
2776.12	8.41368
2779.51	8.8447
2782.89	8.69696
2786.28	9.04726
2789.67	9.8994
2793.05	9.98458
2796.43	9.92723
2799.81	8.79927
2803.19	6.99328
2806.57	6.18186
2809.95	5.62401
2813.32	5.02138
2816.69	4.90149
2820.06	5.50192
2823.44	7.29811
2826.81	8.85743
2830.17	9.74045
2833.54	9.14587
2836.9	7.8948
2840.27	7.04057
2843.63	7.27959
2846.99	6.73545
2850.35	6.19091
2853.71	5.74405
2857.06	5.5383
2860.42	6.05035
2863.77	5.76279
2867.12	5.2195
2870.48	4.71621
2873.83	4.20808
2877.17	4.46571
2880.52	5.3523
2883.86	6.70164
2887.21	8.44357
2890.55	9.85911
2893.89	10.4135
2897.23	10.4328
2900.57	9.55852
2903.91	8.44172
2907.24	7.41096
2910.57	6.58471
2913.91	6.28951
2917.24	6.37998
2920.57	6.14456
2923.9	5.67306
2927.22	5.4857
2930.55	5.22706
2933.87	4.68969
2937.19	5.43939
2940.51	5.70474
2943.83	6.36902
2947.15	8.32117
2950.47	9.77789
2953.79	10.1158
2957.1	9.7389
2960.41	9.73871
2963.72	9.30081
2967.03	8.98005
2970.34	8.3756
2973.65	7.72951
2976.95	8.41066
2980.26	10.2221
2983.56	11.4055
2986.86	13.238
2990.16	14.1881
2993.46	15.2095
2996.76	16.7086
3000.06	16.3648
3003.35	15.349
3006.64	14.2943
3009.94	13.5769
3013.23	13.5082
3016.51	13.9436
3019.8	14.849
