#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-0.793193 ... 1.73091
#X (µm)=	-11.607 ... -9.60704
#Generated=	29.03.2022 09:29:34
2344.34	9.38519
2347.91	8.4852
2351.49	8.75279
2355.06	9.06611
2358.63	9.40032
2362.2	9.66643
2365.77	10.1429
2369.33	9.8266
2372.9	9.44754
2376.46	9.60586
2380.02	9.41499
2383.58	8.87811
2387.14	8.71405
2390.7	9.14308
2394.25	9.15485
2397.81	9.49505
2401.36	9.80999
2404.91	9.30894
2408.46	9.06119
2412.01	8.83866
2415.56	7.90177
2419.1	7.43335
2422.64	7.09104
2426.18	6.79327
2429.72	6.81421
2433.26	6.9052
2436.8	7.11171
2440.34	7.46731
2443.87	8.20802
2447.4	8.84463
2450.93	8.94378
2454.46	8.51285
2457.99	7.62346
2461.52	6.83015
2465.04	6.01637
2468.56	5.17872
2472.09	5.2458
2475.61	6.28548
2479.13	7.69019
2482.64	9.01773
2486.16	10.2542
2489.67	10.8566
2493.18	10.8381
2496.69	10.2387
2500.2	9.49781
2503.71	8.84196
2507.22	8.32077
2510.72	7.66466
2514.23	7.51394
2517.73	7.59329
2521.23	7.94655
2524.73	8.51814
2528.23	9.06295
2531.72	9.19542
2535.21	9.13409
2538.71	9.43747
2542.2	9.25184
2545.69	8.76709
2549.18	8.76604
2552.66	8.54023
2556.15	8.17118
2559.63	7.75547
2563.12	8.43251
2566.6	8.78944
2570.08	9.19376
2573.55	9.52558
2577.03	10.2504
2580.5	11.0494
2583.98	11.456
2587.45	11.6971
2590.92	11.408
2594.39	10.2401
2597.86	9.23719
2601.32	8.58466
2604.79	8.23731
2608.25	8.18412
2611.71	7.94343
2615.17	7.57772
2618.63	7.98061
2622.08	8.44259
2625.54	8.83708
2628.99	9.26404
2632.45	9.26811
2635.9	8.83741
2639.35	8.70607
2642.79	8.056
2646.24	7.02015
2649.69	6.43834
2653.13	5.77824
2656.57	5.59534
2660.01	6.94577
2663.45	8.03826
2666.89	9.13282
2670.32	9.80508
2673.76	10.0543
2677.19	9.60949
2680.62	9.11134
2684.05	8.63629
2687.48	8.18989
2690.91	8.64101
2694.33	8.96951
2697.76	8.89524
2701.18	8.34577
2704.6	7.27683
2708.02	6.6959
2711.44	6.46569
2714.86	6.62842
2718.27	6.8811
2721.69	7.54623
2725.1	7.32778
2728.51	7.04883
2731.92	6.76423
2735.33	5.6098
2738.74	4.29707
2742.14	4.05097
2745.55	3.95138
2748.95	4.70445
2752.35	5.99352
2755.75	6.06978
2759.15	6.08642
2762.54	5.76276
2765.94	5.21953
2769.33	4.69822
2772.72	4.45363
2776.12	4.99049
2779.51	5.26212
2782.89	5.42518
2786.28	5.4112
2789.67	5.79121
2793.05	5.95954
2796.43	6.14307
2799.81	5.76611
2803.19	5.79178
2806.57	5.55321
2809.95	5.25775
2813.32	5.26978
2816.69	5.69662
2820.06	6.44139
2823.44	7.49743
2826.81	8.13991
2830.17	8.54957
2833.54	8.55597
2836.9	8.06573
2840.27	7.90415
2843.63	7.71947
2846.99	7.31395
2850.35	6.86965
2853.71	6.14752
2857.06	5.88504
2860.42	5.88117
2863.77	6.1571
2867.12	6.39557
2870.48	6.64546
2873.83	6.89107
2877.17	6.75344
2880.52	7.03771
2883.86	7.08677
2887.21	7.03515
2890.55	6.96794
2893.89	7.11965
2897.23	7.29695
2900.57	7.17133
2903.91	7.4331
2907.24	7.43407
2910.57	8.1694
2913.91	8.98962
2917.24	9.41191
2920.57	9.46701
2923.9	9.13477
2927.22	8.61987
2930.55	7.9663
2933.87	7.33277
2937.19	6.8597
2940.51	6.59301
2943.83	6.65308
2947.15	7.37024
2950.47	6.48052
2953.79	5.58937
2957.1	5.88354
2960.41	6.31815
2963.72	7.27043
2967.03	8.43742
2970.34	8.7498
2973.65	8.95979
2976.95	8.62411
2980.26	8.05398
2983.56	7.1633
2986.86	6.47578
2990.16	6.20866
2993.46	6.71422
2996.76	7.16119
3000.06	7.30494
3003.35	7.56823
3006.64	7.46851
3009.94	7.22378
3013.23	6.65208
3016.51	5.96694
3019.8	5.42633
3023.09	4.88334
3026.38	4.22883
3029.66	3.69371
3032.94	4.21863
3036.22	5.26627
3039.5	6.58328
3042.78	8.44175
3046.05	7.62815
3049.33	5.98904
3052.6	4.57137
3055.88	3.58806
3059.15	3.74879
3062.42	5.01075
3065.69	5.72421
3068.95	6.58357
3072.22	7.4661
3075.48	7.49195
3078.75	7.25531
3082.01	7.38448
3085.27	7.68375
3088.53	8.75578
3091.79	9.11935
3095.04	8.57656
3098.3	7.69828
3101.55	6.78595
3104.8	5.93885
3108.05	5.55483
3111.3	5.20085
3114.55	4.84391
3117.8	4.8178
3121.04	5.51877
3124.29	6.81933
3127.53	8.53283
3130.77	9.13412
3134.01	9.17179
3137.25	8.36111
3140.49	6.50714
3143.72	4.56717
3146.96	2.68818
3150.19	2.3792
3153.42	3.06131
3156.65	4.30734
3159.88	5.99524
3163.11	7.23357
3166.34	7.87669
3169.56	7.97313
3172.79	7.85274
3176.01	7.66232
3179.23	7.70883
3182.45	8.14994
3185.67	6.8111
3188.88	4.97428
3192.1	4.37884
3195.31	3.96159
3198.53	4.48534
3201.74	5.01321
3204.95	5.23596
3208.16	5.69024
3211.37	5.70451
3214.57	5.54509
3217.78	5.31767
3220.98	5.24235
3224.18	5.31787
3227.39	4.83464
3230.59	4.25529
3233.78	3.91093
3236.98	3.60591
3240.18	3.78272
3243.37	3.99047
3246.56	4.56052
3249.76	4.98691
3252.95	5.10591
3256.14	5.60234
3259.32	6.04203
3262.51	6.3506
3265.7	6.41577
3268.88	5.86175
3272.06	5.22174
3275.24	4.73604
3278.42	4.18346
3281.6	4.71814
3284.78	5.81501
3287.96	6.39265
3291.13	6.65848
3294.31	6.47811
3297.48	5.35327
3300.65	4.05814
3303.82	3.05981
3306.99	2.89781
3310.15	3.54609
3313.32	4.44942
3316.48	5.24127
3319.65	5.64043
3322.81	5.83461
3325.97	5.1569
3329.13	4.28111
3332.28	3.51948
3335.44	3.07019
3338.6	3.38773
3341.75	4.45915
3344.9	5.39916
3348.05	6.09852
3351.2	6.28885
3354.35	6.09127
3357.5	5.76779
3360.65	5.46192
3363.79	5.14421
3366.94	5.37992
3370.08	6.25862
3373.22	6.53573
3376.36	7.32094
3379.5	7.88045
3382.63	8.28162
3385.77	8.6815
3388.9	9.0196
3392.04	9.52464
3395.17	8.75919
3398.3	7.89124
3401.43	6.95097
3404.56	7.15372
3407.69	11.0429
3410.81	16.2853
3413.94	25.9577
3417.06	44.3888
3420.18	71.4442
3423.3	126.351
3426.42	239.298
3429.54	278.648
3432.65	200.428
3435.77	124.321
3438.88	73.3147
3442	40.5768
3445.11	23.3332
3448.22	13.9998
3451.33	9.6636
3454.43	8.48894
3457.54	8.04986
3460.65	8.44773
3463.75	9.29323
3466.85	10.0395
3469.95	11.0126
3473.05	13.1232
3476.15	15.607
3479.25	18.2166
3482.35	21.2831
3485.44	24.8876
3488.54	28.0097
3491.63	42.5298
3494.72	59.9889
3497.81	86.6762
3500.9	119.501
3503.99	150.071
3507.07	178.433
3510.16	197.046
3513.24	191.152
3516.32	171.159
3519.41	141.153
3522.49	105.983
3525.56	76.3301
3528.64	51.5791
3531.72	37.8878
3534.79	28.0704
3537.87	22.0015
3540.94	18.9831
3544.01	17.9377
3547.08	16.3611
3550.15	15.1322
3553.22	14.4625
3556.28	13.587
3559.35	12.4759
3562.41	10.8068
3565.47	8.24928
3568.54	6.66971
3571.6	5.70711
3574.65	5.61943
3577.71	6.7972
3580.77	8.71365
3583.82	10.5053
3586.88	11.8016
3589.93	11.5206
3592.98	9.66966
3596.03	7.27387
3599.08	5.58728
3602.13	4.37064
3605.18	4.20358
3608.22	5.20424
3611.27	5.99301
3614.31	6.75778
3617.35	7.2269
3620.39	7.14786
3623.43	6.98292
3626.47	6.68161
3629.5	6.6683
3632.54	6.90091
3635.57	8.12211
3638.61	8.58664
3641.64	8.54124
3644.67	7.64853
3647.7	6.29402
3650.73	5.24369
3653.75	5.20631
3656.78	5.62855
3659.8	6.83769
3662.83	7.61322
3665.85	8.35084
3668.87	8.54728
3671.89	8.3658
3674.91	7.61818
3677.92	6.17334
3680.94	4.88892
3683.96	4.09459
3686.97	3.80464
3689.98	3.99844
3692.99	4.65017
3696	5.64518
3699.01	6.68534
3702.02	7.71988
3705.02	8.41002
3708.03	8.36135
3711.03	8.29502
3714.03	7.47599
3717.04	7.36619
3720.04	7.69374
3723.04	7.46208
3726.03	7.22499
3729.03	6.96504
3732.03	6.28032
3735.02	5.30626
3738.01	4.51067
3741	3.98744
3743.99	4.11255
3746.98	4.51863
3749.97	4.94013
3752.96	5.13685
3755.95	5.33827
3758.93	5.7549
3761.91	6.20606
3764.9	7.39547
3767.88	8.19164
3770.86	8.30774
3773.84	8.25156
3776.81	7.92746
3779.79	7.45504
3782.77	6.70617
3785.74	6.0981
3788.71	5.58418
3791.68	5.64511
3794.65	5.85166
3797.62	6.2079
3800.59	6.89692
3803.56	7.84525
3806.52	7.53696
3809.49	7.73345
3812.45	7.59441
3815.41	7.27999
3818.37	7.3746
3821.33	6.98573
3824.29	6.82024
3827.25	7.20252
3830.21	7.50509
3833.16	7.66196
3836.11	7.31479
3839.07	7.0084
3842.02	6.55683
3844.97	6.41035
3847.92	6.16467
3850.87	6.04026
3853.81	6.04573
3856.76	6.22626
3859.7	6.4218
3862.65	7.39154
3865.59	8.22125
3868.53	9.14829
3871.47	9.79313
3874.41	9.52201
3877.34	9.15876
3880.28	8.93866
3883.22	8.36922
3886.15	8.32712
3889.08	8.69643
3892.01	9.27823
3894.94	9.62348
3897.87	9.27719
3900.8	8.79363
3903.73	8.16718
3906.65	7.67219
3909.58	7.51523
3912.5	8.17043
3915.42	8.77183
3918.35	10.2817
3921.27	10.8709
3924.18	11.2442
3927.1	10.8878
3930.02	9.91745
3932.93	8.98833
3935.85	8.33154
3938.76	7.9355
3941.67	8.52201
3944.58	9.06943
3947.49	9.95209
3950.4	11.3927
3953.31	11.8933
3956.22	11.4323
3959.12	10.8266
