#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-5.8414 ... -3.3173
#X (µm)=	4.39296 ... 6.39296
#Generated=	29.03.2022 09:29:06
1658.64	6.93131
1662.53	6.13097
1666.41	5.43213
1670.28	4.39599
1674.16	4.18109
1678.04	5.60735
1681.91	6.0683
1685.78	6.50627
1689.65	6.77452
1693.52	6.32689
1697.38	6.19885
1701.25	6.513
1705.11	6.31924
1708.97	6.29456
1712.83	6.87631
1716.69	6.71281
1720.54	6.37604
1724.4	6.40842
1728.25	5.51822
1732.1	4.88961
1735.95	4.79741
1739.79	4.66982
1743.64	5.05518
1747.48	5.47861
1751.33	5.66872
1755.17	6.1396
1759	6.27343
1762.84	6.2605
1766.68	6.16243
1770.51	5.75834
1774.34	5.47572
1778.17	5.91807
1782	6.46163
1785.82	6.20476
1789.65	6.1528
1793.47	6.42209
1797.29	6.65037
1801.11	7.17043
1804.93	7.30889
1808.74	7.36098
1812.56	7.38743
1816.37	7.15384
1820.18	6.78516
1823.99	6.48121
1827.79	6.0816
1831.6	5.33375
1835.4	5.12487
1839.2	5.12195
1843	5.12242
1846.8	5.5418
1850.6	6.40608
1854.39	6.56156
1858.19	6.9801
1861.98	7.58731
1865.77	7.79227
1869.56	7.59694
1873.34	7.88776
1877.13	7.96577
1880.91	8.30622
1884.69	8.92332
